흑,백,덤,결과,대국일자,대국명,제한시간,초읽기 횟수,초읽기 시간,대국룰,흑번국가,백번국가
申眞諝,姜東潤,6.5,B+R,2024-02-02,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
申眞諝,卞相壹,6.5,B+R,2024-01-31,第28回LG杯朝鮮日報棋王戦決勝三番勝負第2局,10800.0,5,40,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2024-01-29,第28回LG杯朝鮮日報棋王戦決勝三番勝負第1局,10800.0,5,40,japanese,kr,kr
范廷鈺,申眞諝,7.5,B+R,2024-01-22,第25回中国囲碁甲級リーグ,7200.0,5,60,japanese,ch,kr
元晟溱,申眞諝,6.5,W+R,2024-01-18,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
朴廷桓,楊楷文,7.5,B+1¾,2025-06-22,第15回春蘭杯世界囲碁選手権決勝三番勝負第2局,8700.0,5,60,chinese,kr,ch
申眞諝,元晟溱,6.5,B+R,2024-01-18,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
申眞諝,柁嘉熹,7.5,B+R,2024-01-16,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
偰玹準,申眞諝,6.5,W+R,2024-01-11,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
申眞諝,安成浚,6.5,B+R,2024-01-11,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
申眞諝,崔哲瀚,6.5,B+R,2024-01-08,第25回マキシムコーヒー杯入神最強戦1回戦,600.0,,,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2024-01-07,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
申眞諝,金庭賢,6.5,B+R,2024-01-07,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
夏晨琨,申眞諝,7.5,W+R,2024-01-05,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
申眞諝,李志賢,6.5,B+R,2023-12-31,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
申眞諝,姜東潤,6.5,W+R,2023-12-23,第2期韓国棋院選手権戦8強戦敗者戦,5400.0,3,60,japanese,kr,kr
楊楷文,朴廷桓,7.5,B+R,2025-06-20,第15回春蘭杯世界囲碁選手権決勝三番勝負第1局,8700.0,5,60,chinese,ch,kr
申眞諝,范胤,7.5,W+R,2023-12-21,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
申眞諝,卞相壹,6.5,B+R,2023-12-16,第46期名人戦（韓国）決勝三番勝負第2局,6000.0,3,60,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2023-12-15,第46期名人戦（韓国）決勝三番勝負第1局,6000.0,3,60,japanese,kr,kr
申眞諝,柯潔,6.5,B+1.5,2023-12-13,第28回LG杯朝鮮日報棋王戦準決勝,10800.0,5,40,japanese,kr,ch
辜梓豪,申眞諝,6.5,W+R,2023-12-11,第28回LG杯朝鮮日報棋王戦3回戦,10800.0,5,40,japanese,ch,kr
申眞諝,謝爾豪,6.5,B+R,2023-12-04,第25回農心辛ラーメン杯世界囲碁最強戦第9戦,3600.0,1,60,japanese,kr,ch
申眞諝,羋昱廷,7.5,B+R,2023-11-28,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
申眞諝,謝爾豪,6.5,W+R,2023-11-22,第28回三星火災杯世界囲碁マスターズ3回戦,7200.0,5,60,japanese,kr,ch
許皓鋐,申眞諝,6.5,W+R,2023-11-19,第28回三星火災杯世界囲碁マスターズ2回戦,7200.0,5,60,japanese,tp,kr
王星昊,申眞諝,6.5,W+R,2023-11-17,第28回三星火災杯世界囲碁マスターズ1回戦,7200.0,5,60,japanese,ch,kr
朴廷桓,申旻埈,6.5,B+R,2025-06-14,2025ハナ銀行囲碁スーパーマッチ準決勝,600.0,,,japanese,kr,kr
申眞諝,朴廷桓,6.5,B+R,2023-11-10,第46期名人戦（韓国）敗者組決勝,6000.0,3,60,japanese,kr,kr
申眞諝,朴只玹,6.5,B+R,2023-11-08,第46期名人戦（韓国）敗者組5回戦,6000.0,3,60,japanese,kr,kr
申眞諝,陳正勲,7.5,B+R,2023-11-06,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
申眞諝,金恩持,6.5,B+R,2023-11-03,第46期名人戦（韓国）敗者組4回戦,6000.0,3,60,japanese,kr,kr
朴鐘勲,申眞諝,6.5,W+R,2023-10-23,第46期名人戦（韓国）敗者組3回戦,6000.0,3,60,japanese,kr,kr
申眞諝,宋知勲,6.5,W+R,2023-10-21,第2期韓国棋院選手権戦8強戦,5400.0,3,60,japanese,kr,kr
許映皓,申眞諝,6.5,W+R,2023-10-12,第46期名人戦（韓国）敗者組2回戦,6000.0,3,60,japanese,kr,kr
辜梓豪,申眞諝,7.5,W+R,2023-10-10,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
申眞諝,楊鼎新,7.5,B+R,2023-10-08,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
楊鼎新,申眞諝,7.5,W+R,2023-10-03,第19回アジア競技大会囲碁男子団体戦決勝,3600.0,3,30,chinese,ch,kr
朴廷桓,許皓鋐,6.5,B+R,2025-06-10,第1回ソパルコサノル世界最高棋士決定戦リーグ,3600.0,,,japanese,kr,tp
申眞諝,佐田篤史,7.5,B+R,2023-10-02,第19回アジア競技大会囲碁男子団体戦準決勝,3600.0,3,30,chinese,kr,jp
申眞諝,柯潔,7.5,B+R,2023-09-30,第19回アジア競技大会囲碁男子団体戦予選第4戦,3600.0,3,30,chinese,kr,ch
申眞諝,王元均,7.5,B+R,2023-09-29,第19回アジア競技大会囲碁男子団体戦予選第1戦,3600.0,3,30,chinese,kr,tp
申眞諝,佐田篤史,7.5,B+R,2023-09-30,第19回アジア競技大会囲碁男子団体戦予選第3戦,3600.0,3,30,chinese,kr,jp
申眞諝,一力遼,7.5,B+R,2023-09-28,第19回アジア競技大会囲碁男子個人戦3位決定戦,3600.0,3,30,chinese,kr,jp
申眞諝,許皓鋐,7.5,W+R,2023-09-28,第19回アジア競技大会囲碁男子個人戦準決勝,3600.0,3,30,chinese,kr,tp
申眞諝,賴均輔,7.5,B+1¾,2023-09-27,第19回アジア競技大会囲碁男子個人戦1回戦,3600.0,3,30,chinese,kr,tp
芝野虎丸,申眞諝,7.5,W+R,2023-09-25,第19回アジア競技大会囲碁男子個人戦予選第4戦,3600.0,3,30,chinese,jp,kr
許皓鋐,申眞諝,7.5,W+R,2023-09-25,第19回アジア競技大会囲碁男子個人戦予選第3戦,3600.0,3,30,chinese,tp,kr
申眞諝,楊鼎新,7.5,B+R,2023-09-24,第19回アジア競技大会囲碁男子個人戦予選第1戦,3600.0,3,30,chinese,kr,ch
王星昊,朴廷桓,6.5,W+R,2026-02-27,第1回新韓銀行世界棋仙戦決勝三番勝負第3局,1800.0,,,Japanese,ch,kr
申旻埈,朴廷桓,6.5,B+R,2025-06-03,第1回ソパルコサノル世界最高棋士決定戦リーグ,3600.0,,,japanese,kr,kr
朴只玹,申眞諝,6.5,B+R,2023-09-18,第46期名人戦（韓国）2回戦,6000.0,3,60,japanese,kr,kr
朴鍵昊,申眞諝,6.5,W+R,2023-09-09,第2期韓国棋院選手権戦16強戦勝者戦,5400.0,3,60,japanese,kr,kr
申眞諝,朴鍵昊,6.5,B+R,2023-09-05,第6期韓国竜星戦決勝三番勝負第2局,1800.0,,,japanese,kr,kr
朴鍵昊,申眞諝,6.5,W+R,2023-09-04,第6期韓国竜星戦決勝三番勝負第1局,1800.0,,,japanese,kr,kr
申眞諝,韓相朝,6.5,B+R,2023-08-30,第46期名人戦（韓国）1回戦,6000.0,3,60,japanese,kr,kr
謝科,申眞諝,7.5,W+R,2023-08-23,第9回応氏杯世界選手権決勝三番勝負第2局,12600.0,,,chinese,ch,kr
申眞諝,謝科,7.5,B+R,2023-08-21,第9回応氏杯世界選手権決勝三番勝負第1局,1260.0,,,chinese,kr,ch
申眞諝,李軒豪,7.5,W+R,2023-08-06,第5回夢百合杯世界囲碁オープン戦3回戦,7200.0,5,60,chinese,kr,ch
范廷鈺,申眞諝,7.5,W+R,2023-08-04,第5回夢百合杯世界囲碁オープン戦2回戦,7200.0,5,60,chinese,ch,kr
申眞諝,周泓余,7.5,B+1¾,2023-08-03,第5回夢百合杯世界囲碁オープン戦1回戦,7200.0,5,60,chinese,kr,ch
姜東潤,朴廷桓,6.5,W+R,2025-06-02,第1回ソパルコサノル世界最高棋士決定戦リーグ,3600.0,,,japanese,kr,kr
申眞諝,申旻埈,6.5,W+R,2023-07-28,第9回国手山脈世界プロ最強戦決勝,1800.0,3,40,japanese,kr,kr
申眞諝,芝野虎丸,6.5,B+R,2023-07-27,第9回国手山脈世界プロ最強戦準決勝,1800.0,3,40,japanese,kr,jp
申眞諝,金明訓,6.5,B+R,2023-07-26,第9回国手山脈世界プロ最強戦2回戦,1800.0,3,40,japanese,kr,kr
伊田篤史,申眞諝,6.5,W+R,2023-07-26,第9回国手山脈世界プロ最強戦1回戦,1800.0,3,40,japanese,jp,kr
申眞諝,申旻埈,6.5,B+R,2023-07-21,第6期韓国竜星戦準決勝,1800.0,,,japanese,kr,kr
金明訓,申眞諝,6.5,W+R,2023-07-10,第6期韓国竜星戦2回戦,1800.0,,,japanese,kr,kr
全瑛圭,申眞諝,6.5,W+R,2023-07-08,第2期韓国棋院選手権戦16強戦,5400.0,3,60,japanese,kr,kr
申旻埈,申眞諝,6.5,W+R,2023-07-05,2023YK建機杯決勝五番勝負第3局,600.0,,,japanese,kr,kr
申眞諝,申旻埈,6.5,B+R,2023-07-04,2023YK建機杯決勝五番勝負第2局,600.0,,,japanese,kr,kr
申旻埈,申眞諝,6.5,W+R,2023-07-03,2023YK建機杯決勝五番勝負第1局,600.0,,,japanese,kr,kr
朴廷桓,安成浚,6.5,W+R,2025-05-29,第30回GSカルテックス杯プロ棋戦敗者組3回戦,1800.0,,,japanese,kr,kr
申眞諝,朴廷桓,6.5,B+R,2023-06-27,第4期ソパルコサノル最高棋士決定戦挑戦手合五番勝負第3局,7200.0,3,60,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2023-06-25,2022-2023韓国囲碁リーグ優勝決定戦第2戦,2400.0,,,japanese,kr,kr
申眞諝,許栄珞,6.5,B+R,2023-06-24,2022-2023韓国囲碁リーグ優勝決定戦第1戦,2400.0,,,japanese,kr,kr
辜梓豪,申眞諝,7.5,B+R,2023-06-17,第1回衢州爛柯杯ワールド囲碁オープン決勝三番勝負第3局,7200.0,5,60,chinese,ch,kr
申眞諝,辜梓豪,7.5,W+R,2023-06-16,第1回衢州爛柯杯ワールド囲碁オープン決勝三番勝負第2局,60.0,5,60,chinese,kr,ch
姜東潤,申眞諝,6.5,W+R,2023-06-11,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
韓昇周,申眞諝,6.5,W+R,2023-06-10,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
申眞諝,趙漢乗,6.5,B+1.5,2023-06-09,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
崔哲瀚,申眞諝,6.5,W+R,2023-06-03,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
申眞諝,崔哲瀚,6.5,B+7.5,2023-06-02,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
姜昇旼,朴廷桓,6.5,W+R,2025-05-24,2025ハナ銀行囲碁スーパーマッチ2回戦,600.0,,,japanese,kr,kr
申眞諝,沈載益,6.5,B+R,2023-06-01,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
李昌鎬,申眞諝,6.5,W+R,2023-06-07,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
李軒豪,申眞諝,6.5,W+R,2023-05-31,第28回LG杯朝鮮日報棋王戦2回戦,10800.0,5,40,japanese,ch,kr
申眞諝,朴廷桓,6.5,B+R,2023-05-22,第4期ソパルコサノル最高棋士決定戦挑戦手合五番勝負第1局,7200.0,3,60,japanese,kr,kr
朴廷桓,申眞諝,6.5,W+R,2023-05-24,第4期ソパルコサノル最高棋士決定戦挑戦手合五番勝負第2局,7200.0,3,60,japanese,kr,kr
